COUNTRY,Country,TIME_PERIOD,OBS_VALUE,Measure
BEL,Belgium,2019,32542,Active physicians
BEL,Belgium,2023,35348,Active physicians
AUT,Austria,2020,47674,Active physicians
AUT,Austria,2019,47224,Active physicians
AUT,Austria,2022,49521,Active physicians
CZE,Czechia,2020,51072.5,Active physicians
CZE,Czechia,2019,50802.7,Active physicians
BEL,Belgium,2022,34163,Active physicians
CAN,Canada,2021,93998,Active physicians
CAN,Canada,2020,92173,Active physicians
CHL,Chile,2020,46369,Active physicians
CHL,Chile,2022,48856,Active physicians
CHL,Chile,2019,37021,Active physicians
COL,Colombia,2019,113197,Active physicians
CRI,Costa Rica,2020,3284,Active physicians
CRI,Costa Rica,2019,3035,Active physicians
CZE,Czechia,2021,52280.12000000001,Active physicians
AUS,Australia,2020,105293,Active physicians
AUS,Australia,2019,101841,Active physicians
DNK,Denmark,2019,24700,Active physicians
AUS,Australia,2021,108501,Active physicians
AUT,Austria,2021,48705,Active physicians
BEL,Belgium,2021,33387,Active physicians
CAN,Canada,2019,91372,Active physicians
CHL,Chile,2021,46762,Active physicians
COL,Colombia,2020,118140,Active physicians
CRI,Costa Rica,2021,3555,Active physicians
CZE,Czechia,2022,51988.431384995674,Active physicians
DNK,Denmark,2020,25522,Active physicians
EST,Estonia,2019,4603,Active physicians
BEL,Belgium,2020,33100,Active physicians
