country_code,country_name,time_period,unit_type,unit_value,unit_of_measure
AUS,Australia,2021,Active physicians,108501,Persons
AUS,Australia,2020,Active physicians,105293,Persons
AUS,Australia,2018,Active physicians,98395,Persons
AUS,Australia,2017,Active physicians,95194,Persons
AUS,Australia,2019,Active physicians,101841,Persons
BEL,Belgium,2020,Active physicians,33100,Persons
BEL,Belgium,2021,Active physicians,33387,Persons
BEL,Belgium,2019,Active physicians,32542,Persons
BEL,Belgium,2018,Active physicians,32007,Persons
BEL,Belgium,2017,Active physicians,44534,Persons
CAN,Canada,2019,Active physicians,91372,Persons
CAN,Canada,2018,Active physicians,89772,Persons
CAN,Canada,2017,Active physicians,86643,Persons
CAN,Canada,2021,Active physicians,93998,Persons
CAN,Canada,2020,Active physicians,92173,Persons
CRI,Costa Rica,2021,Active physicians,3555,Persons
CRI,Costa Rica,2018,Active physicians,2978,Persons
CRI,Costa Rica,2017,Active physicians,2830,Persons
CRI,Costa Rica,2019,Active physicians,3035,Persons
CRI,Costa Rica,2020,Active physicians,3284,Persons
ESP,Spain,2018,Active physicians,188166,Persons
ESP,Spain,2017,Active physicians,180633,Persons
ESP,Spain,2021,Active physicians,212735,Persons
ESP,Spain,2020,Active physicians,216766,Persons
ESP,Spain,2019,Active physicians,207565,Persons
FRA,France,2018,Active physicians,226219,Persons
FRA,France,2017,Active physicians,224875,Persons
FRA,France,2019,Active physicians,227358,Persons
FRA,France,2021,Active physicians,227933,Persons
FRA,France,2020,Active physicians,227946,Persons
ITA,Italy,2020,Active physicians,237844,Persons
ITA,Italy,2019,Active physicians,241945,Persons
ITA,Italy,2018,Active physicians,240301,Persons
ITA,Italy,2017,Active physicians,241512,Persons
ITA,Italy,2021,Active physicians,242721,Persons
LVA,Latvia,2021,Active physicians,6328,Persons
LVA,Latvia,2020,Active physicians,6346,Persons
LVA,Latvia,2019,Active physicians,6253,Persons
LVA,Latvia,2018,Active physicians,6472,Persons
LVA,Latvia,2017,Active physicians,6392,Persons
NOR,Norway,2019,Active physicians,26572,Persons
NOR,Norway,2018,Active physicians,25804,Persons
NOR,Norway,2017,Active physicians,24986,Persons
NOR,Norway,2021,Active physicians,27925,Persons
NOR,Norway,2020,Active physicians,27361,Persons
SWE,Sweden,2018,Active physicians,43978,Persons
SWE,Sweden,2017,Active physicians,42940,Persons
SWE,Sweden,2021,Active physicians,45916,Persons
SWE,Sweden,2020,Active physicians,44749,Persons
SWE,Sweden,2019,Active physicians,44075,Persons
