country_code,country_name,time_period,unit_type,unit_value,unit_of_measure
AUS,Australia,2017,Life expectancy,82.5,Years
AUS,Australia,2018,Life expectancy,82.8,Years
AUS,Australia,2020,Life expectancy,83.2,Years
AUS,Australia,2021,Life expectancy,83.3,Years
AUS,Australia,2019,Life expectancy,82.9,Years
BEL,Belgium,2018,Life expectancy,81.7,Years
BEL,Belgium,2017,Life expectancy,81.6,Years
BEL,Belgium,2019,Life expectancy,82.1,Years
BEL,Belgium,2020,Life expectancy,80.8,Years
BEL,Belgium,2021,Life expectancy,81.9,Years
CAN,Canada,2020,Life expectancy,81.71,Years
CAN,Canada,2021,Life expectancy,81.63,Years
CAN,Canada,2017,Life expectancy,81.9,Years
CAN,Canada,2018,Life expectancy,81.91,Years
CAN,Canada,2019,Life expectancy,82.29,Years
CRI,Costa Rica,2020,Life expectancy,80.615,Years
CRI,Costa Rica,2021,Life expectancy,80.75145,Years
CRI,Costa Rica,2017,Life expectancy,80.18925,Years
CRI,Costa Rica,2018,Life expectancy,80.33305,Years
CRI,Costa Rica,2019,Life expectancy,80.5,Years
FRA,France,2018,Life expectancy,82.8,Years
FRA,France,2019,Life expectancy,83,Years
FRA,France,2017,Life expectancy,82.7,Years
FRA,France,2021,Life expectancy,82.4,Years
FRA,France,2020,Life expectancy,82.3,Years
ITA,Italy,2020,Life expectancy,82.3,Years
ITA,Italy,2021,Life expectancy,82.7,Years
ITA,Italy,2019,Life expectancy,83.6,Years
ITA,Italy,2017,Life expectancy,83.1,Years
ITA,Italy,2018,Life expectancy,83.4,Years
LVA,Latvia,2021,Life expectancy,73.1,Years
LVA,Latvia,2017,Life expectancy,74.9,Years
LVA,Latvia,2018,Life expectancy,75.1,Years
LVA,Latvia,2019,Life expectancy,75.7,Years
LVA,Latvia,2020,Life expectancy,75.5,Years
NOR,Norway,2019,Life expectancy,83,Years
NOR,Norway,2020,Life expectancy,83.3,Years
NOR,Norway,2021,Life expectancy,83.2,Years
NOR,Norway,2017,Life expectancy,82.7,Years
NOR,Norway,2018,Life expectancy,82.8,Years
ESP,Spain,2020,Life expectancy,82.4,Years
ESP,Spain,2021,Life expectancy,83.3,Years
ESP,Spain,2017,Life expectancy,83.4,Years
ESP,Spain,2018,Life expectancy,83.5,Years
ESP,Spain,2019,Life expectancy,84,Years
SWE,Sweden,2018,Life expectancy,82.6,Years
SWE,Sweden,2019,Life expectancy,83.2,Years
SWE,Sweden,2020,Life expectancy,82.4,Years
SWE,Sweden,2021,Life expectancy,83.1,Years
SWE,Sweden,2017,Life expectancy,82.5,Years
