country_code,country_name,time_period,unit_type,unit_value,unit_of_measure
BEL,Belgium,2018,practising_nurses,126406,Persons
BEL,Belgium,2017,practising_nurses,124328,Persons
AUS,Australia,2020,practising_nurses,312339,Persons
AUS,Australia,2019,practising_nurses,307461,Persons
AUT,Austria,2020,practising_nurses,95806,Persons
DNK,Denmark,2017,practising_nurses,70728,Persons
DNK,Denmark,2021,practising_nurses,75345,Persons
BEL,Belgium,2019,practising_nurses,132351,Persons
CAN,Canada,2018,practising_nurses,368684,Persons
CAN,Canada,2017,practising_nurses,365484,Persons
CAN,Canada,2021,practising_nurses,379828,Persons
CAN,Canada,2020,practising_nurses,372913,Persons
CRI,Costa Rica,2018,practising_nurses,1849,Persons
CRI,Costa Rica,2017,practising_nurses,1839,Persons
CRI,Costa Rica,2021,practising_nurses,2165,Persons
CRI,Costa Rica,2020,practising_nurses,1896,Persons
DNK,Denmark,2018,practising_nurses,71952,Persons
AUS,Australia,2017,practising_nurses,285742,Persons
AUS,Australia,2021,practising_nurses,328014,Persons
DNK,Denmark,2020,practising_nurses,73647,Persons
EST,Estonia,2018,practising_nurses,8317,Persons
EST,Estonia,2017,practising_nurses,8157,Persons
EST,Estonia,2021,practising_nurses,8632,Persons
EST,Estonia,2020,practising_nurses,8484,Persons
AUS,Australia,2018,practising_nurses,295324,Persons
AUT,Austria,2021,practising_nurses,100923,Persons
BEL,Belgium,2020,practising_nurses,133755,Persons
CAN,Canada,2019,practising_nurses,359269,Persons
CRI,Costa Rica,2019,practising_nurses,1854,Persons
DNK,Denmark,2019,practising_nurses,72841,Persons
EST,Estonia,2019,practising_nurses,8279,Persons
BEL,Belgium,2021,practising_nurses,134312,Persons
