country_code,country_name,time_period,unit_type,unit_value,unit_of_measure
AUS,Australia,2021,Practising nurses,328014,Persons
AUS,Australia,2020,Practising nurses,312339,Persons
AUS,Australia,2018,Practising nurses,295324,Persons
AUS,Australia,2017,Practising nurses,285742,Persons
AUS,Australia,2019,Practising nurses,307461,Persons
BEL,Belgium,2017,Practising nurses,124328,Persons
BEL,Belgium,2018,Practising nurses,126406,Persons
BEL,Belgium,2021,Practising nurses,134312,Persons
BEL,Belgium,2020,Practising nurses,133755,Persons
BEL,Belgium,2019,Practising nurses,132351,Persons
CAN,Canada,2018,Practising nurses,368684,Persons
CAN,Canada,2017,Practising nurses,365484,Persons
CAN,Canada,2021,Practising nurses,379828,Persons
CAN,Canada,2020,Practising nurses,372913,Persons
CAN,Canada,2019,Practising nurses,359269,Persons
CRI,Costa Rica,2018,Practising nurses,1849,Persons
CRI,Costa Rica,2017,Practising nurses,1839,Persons
CRI,Costa Rica,2021,Practising nurses,2165,Persons
CRI,Costa Rica,2020,Practising nurses,1896,Persons
CRI,Costa Rica,2019,Practising nurses,1854,Persons
ESP,Spain,2018,Practising nurses,273833,Persons
ESP,Spain,2017,Practising nurses,267267,Persons
ESP,Spain,2021,Practising nurses,300567,Persons
ESP,Spain,2020,Practising nurses,288300,Persons
ESP,Spain,2019,Practising nurses,276833,Persons
FRA,France,2018,Practising nurses,683118,Persons
FRA,France,2017,Practising nurses,664046,Persons
FRA,France,2019,Practising nurses,704230,Persons
FRA,France,2021,Practising nurses,744976,Persons
FRA,France,2020,Practising nurses,725427,Persons
ITA,Italy,2019,Practising nurses,367684,Persons
ITA,Italy,2018,Practising nurses,346949,Persons
ITA,Italy,2017,Practising nurses,351008,Persons
ITA,Italy,2021,Practising nurses,367378,Persons
ITA,Italy,2020,Practising nurses,373064,Persons
LVA,Latvia,2020,Practising nurses,7941,Persons
LVA,Latvia,2021,Practising nurses,7880,Persons
LVA,Latvia,2018,Practising nurses,8332,Persons
LVA,Latvia,2017,Practising nurses,8447,Persons
LVA,Latvia,2019,Practising nurses,7966,Persons
NOR,Norway,2019,Practising nurses,100701,Persons
NOR,Norway,2018,Practising nurses,99096,Persons
NOR,Norway,2017,Practising nurses,98226,Persons
NOR,Norway,2021,Practising nurses,91566,Persons
NOR,Norway,2020,Practising nurses,90730,Persons
SWE,Sweden,2020,Practising nurses,110586,Persons
SWE,Sweden,2019,Practising nurses,111664,Persons
SWE,Sweden,2018,Practising nurses,110808,Persons
SWE,Sweden,2017,Practising nurses,109865,Persons
SWE,Sweden,2021,Practising nurses,113491,Persons
